"TAXON","SITE","start_date","IGR"
"infrequens2","C","2017-08-18",0.0799849182466534
"infrequens2","C","2017-08-18",0.0317629791839846
"infrequens2","C","2017-09-17",0.0135057465108208
"infrequens2","C","2017-09-17",0.001
"infrequens2","C","2017-10-15",0.0720924376953524
"infrequens2","C","2017-10-15",0.0616680178001156
"infrequens2","C","2017-11-19",0.001
"infrequens2","C","2017-11-19",0.00836519080662933
"infrequens2","C","2018-01-29",0.0153565584409306
"infrequens2","C","2018-01-29",0.001
"infrequens2","C","2017-03-19",0.050249394486583
"infrequens2","C","2017-03-19",0.0648323806921716
